date,delete facebook,facebook privacy,cambridge analytica,Cambridge_Analytica_views,Facebook_views,meta_close
2016-05-01,71,6,0,23.428571428571427,34759.0,111.53671722412109
2017-01-01,77,6,2,241.0,39464.142857142855,115.67475128173828
2017-10-01,70,5,3,795.7142857142857,28740.285714285714,165.57267150878906
2018-04-01,87,13,54,19585.571428571428,36794.857142857145,155.05818557739258
2018-07-01,62,5,4,1105.5714285714287,31553.714285714286,194.8191711425781
2019-09-01,52,5,10,3920.1428571428573,29956.571428571428,181.50762023925782
2019-12-01,52,4,5,1960.142857142857,25205.85714285714,199.0380516052246
2020-03-01,53,4,4,1749.4285714285713,21330.0,193.86069030761718
2020-11-01,51,4,5,2036.5714285714287,17858.428571428572,272.2653869628906
2021-08-01,45,3,1,781.0,29396.714285714286,362.78704223632815
